Nom_Hotel,Description,Note,Evaluation_Textuelle,Prix,Telephone,Distance,Equipements,Image_URL,Ville,Date_Extraction
Ostello Villa Monte Mario,N/A,4.3,N/A,357.87,0784255454,4.8 km from centre,"Wifi, Restaurant, Climatisation, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/183602021.jpg?k=3887f812540278c7cdb6a3bbb4debdd8118f2e171bca39c64f61259936e25021&o=,Rome,2025-05-12
Courtyard by Marriott Rome Central Park,N/A,2.7,N/A,316.82,0639179799,5.7 km from centre,"Wifi, Parking, Climatisation, Bar",https://cf.bstatic.com/xdata/images/hotel/square240/538284542.jpg?k=567a86b57b7ddec5b280893084f6ac510740f7b084ce58e6e60de83f936b5fce&o=,Rome,2025-05-12
Vacanze Romane 2,N/A,3.0,N/A,302.24,0698401486,2 km from centre,"Gym, Piscine",https://cf.bstatic.com/xdata/images/hotel/square240/115599959.jpg?k=aca0ec8e7c019bfeb3f08a1f6ec2c8eab99b1234b706f4c95036a6e2dc6d1a87&o=,Rome,2025-05-12
Roma Veneto Relais,N/A,4.9,N/A,168.92,0636397194,1.9 km from centre,"Wifi, Vue mer, Parking, Climatisation, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/70665607.jpg?k=41649f36efb3a5b255957fcf284be689092bf43507b1d726e38858d7ded806ca&o=,Rome,2025-05-12
Hotel La Pergola,N/A,3.0,N/A,330.55,0571587252,6.5 km from centre,"Pet-friendly, Gym, Wifi",https://cf.bstatic.com/xdata/images/hotel/square240/54274854.jpg?k=846d1e26f838b01e31bc8de1404327b90a2db9320f6a2a06c72dbfc3816c37dc&o=,Rome,2025-05-12
hu Roma Camping In Town,N/A,3.0,N/A,282.73,0563740281,6.5 km from centre,"Piscine, Parking, Vue mer, Wifi, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/477030040.jpg?k=b9d52d763c4e61db16a8b5999df62bce17e653f9f50200693ee8ecaa111488f0&o=,Rome,2025-05-12
B&B Il Giardino di Gabri,N/A,3.5,N/A,148.51,0557993251,6.4 km from centre,"Restaurant, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/49145421.jpg?k=4142989b0a946490b86c673b18c5a59d0706dcdfcb828a3b715838c43c48433e&o=,Rome,2025-05-12
Hotel Campidoglio,N/A,4.2,N/A,102.27,0752141518,1.6 km from centre,"Piscine, Pet-friendly, Bar, Navette aéroport, Parking",https://cf.bstatic.com/xdata/images/hotel/square240/79738985.jpg?k=892f4e8da0e530ba7ea97fc50203dc65afe4d6c3709e219be6bbd426776d99c2&o=,Rome,2025-05-12
Velvet Grey Boutique Hotel Roma,N/A,3.0,N/A,123.57,0515816623,0.7 km from centre,"Bar, Climatisation, Restaurant",https://cf.bstatic.com/xdata/images/hotel/square240/681728364.jpg?k=7e38619e72586ccf6e716f445fca6ab5e0f01b383a54e97bd3c4bb7a252c8edd&o=,Rome,2025-05-12
Hotel Viminale,N/A,3.9,N/A,288.86,0692085041,1.1 km from centre,"Bar, Spa, Navette aéroport, Vue mer, Restaurant",https://cf.bstatic.com/xdata/images/hotel/square240/552381851.jpg?k=8dd180d9371d7392a09910a7fadf68ded749dd2767d8a79c985ede0c739eea24&o=,Rome,2025-05-12
Hotel Montecarlo,N/A,4.2,N/A,80.19,0692928319,2 km from centre,"Climatisation, Parking, Restaurant",https://cf.bstatic.com/xdata/images/hotel/square240/526635329.jpg?k=f6ac4ecaf032be103471aa6535934965d7d2ecb9c98e88bd3d8029fa12d321fb&o=,Rome,2025-05-12
Villa dei fiori,N/A,4.5,N/A,273.09,0777133737,3 km from centre,"Spa, Vue mer, Parking, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/647754611.jpg?k=aad596dde9c052e7f25b16920bf82523b018b2e1397a8274bf356e3dcf6d061b&o=,Rome,2025-05-12
Atana Hotel,N/A,3.2,N/A,449.31,0542596063,14.1 km from centre,"Wifi, Climatisation",https://cf.bstatic.com/xdata/images/hotel/square240/59789878.jpg?k=a80e7bdfcc3c23c60430a8c07580889187610b54e9c65e728d333ea1d102af13&o=,Dubai,2025-05-12
MOUNT SINA HOTEL By AURA,N/A,3.6,N/A,224.58,0744170969,8.8 km from centre,"Wifi, Restaurant, Piscine",https://cf.bstatic.com/xdata/images/hotel/square240/409923799.jpg?k=266b8ad0d34cf6711c08456f4d68866decf02afe6b76f506c4257d2d069eac2f&o=,Dubai,2025-05-12
Luxury Living 3BR High Rise with Burj Khalifa View,N/A,2.7,N/A,320.42,0693851381,2.1 km from centre,"Climatisation, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/681374672.jpg?k=4cb27b6ab66debcd342775f46e83e362395e2b806857bd55efafc964e4f3cc7b&o=,Dubai,2025-05-12
Blueground DIFC rooftop pool security gym DXB-1516,N/A,4.8,N/A,233.33,0753722374,2.1 km from centre,"Gym, Restaurant, Wifi, Pet-friendly, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/594994803.jpg?k=36436835fb00cabbf93ecc3b0110b8f6d9b0de13eaa4b370c340e830a61d9d72&o=,Dubai,2025-05-12
Elegant 2BRBurj Khalifa View,N/A,2.8,N/A,391.28,0593065937,2.7 km from centre,"Navette aéroport, Pet-friendly, Climatisation",https://cf.bstatic.com/xdata/images/hotel/square240/681502370.jpg?k=5381caea67ac181428ff90f3a7236fe03960869d8179a4c1a73efd5685f41675&o=,Dubai,2025-05-12
Waterfront Living with a Spacious Layout,N/A,4.6,N/A,202.94,0624908754,2.5 km from centre,"Bar, Vue mer, Navette aéroport, Climatisation, Parking",https://cf.bstatic.com/xdata/images/hotel/square240/681440878.jpg?k=c803dafc213c6c627af815fc4e5ac1f5b89f70bcd530d8f2370880701efa0b30&o=,Dubai,2025-05-12
Luxury 2BR in Merano Tower & Stunning Canal Views,N/A,2.8,N/A,373.08,0530503631,1.7 km from centre,"Wifi, Parking, Navette aéroport, Bar",https://cf.bstatic.com/xdata/images/hotel/square240/682452110.jpg?k=58aeacc58b66bf411a0520e187c042c28f023eac95361ca0c32c3e5d50f0e697&o=,Dubai,2025-05-12
Cozy Business Bay Studio With Burj Khalifa View,N/A,3.7,N/A,218.31,0770344738,1.7 km from centre,"Navette aéroport, Piscine, Vue mer",https://cf.bstatic.com/xdata/images/hotel/square240/682427959.jpg?k=8e6d835d7072dd4659e7b25c57882b3a5f2904a31d7364e38e35c08320564b57&o=,Dubai,2025-05-12
Relaxing and Cozy 1BR Apartment in Business Bay,N/A,2.9,N/A,147.84,0745584507,1.7 km from centre,"Spa, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/682378207.jpg?k=9a49afa4d46db56fc9b0b7f86892af85b4ddcd0e1e48ffe934e3a2913952cd27&o=,Dubai,2025-05-12
26 - Urban Oasis Dubai - Affordable 2BR Apartment - Incredible Views - Perfect for Longer Stays,N/A,2.6,N/A,168.79,0622151597,1.8 km from centre,"Climatisation, Gym, Restaurant",https://cf.bstatic.com/xdata/images/hotel/square240/682366507.jpg?k=417ba968c23a821ffe4fd0f09092569e9d543700a6c6e06c930848fd721b3e57&o=,Dubai,2025-05-12
1706 Atria Residence,N/A,4.6,N/A,330.07,0731881309,1.8 km from centre,"Navette aéroport, Piscine",https://cf.bstatic.com/xdata/images/hotel/square240/682290019.jpg?k=322529bb42a53a0a2d40279ae2a7e742e6e110294607912b86a45aeb5600d8a9&o=,Dubai,2025-05-12
Modern Urban Oasis - Affordable yet newly furnished 2BR Apartment with Tranquil Vibes,N/A,3.2,N/A,114.92,0690599638,1.8 km from centre,"Spa, Bar",https://cf.bstatic.com/xdata/images/hotel/square240/681767124.jpg?k=45c4d6b862aa7c3e757223a2f5ecfeff324cb82e485f90cdb838ce66f743e0cf&o=,Dubai,2025-05-12
Luxury 1BR w Burj Khalifa View in Business Bay,N/A,3.0,N/A,227.73,0714566697,1.5 km from centre,"Pet-friendly, Parking, Navette aéroport, Bar",https://cf.bstatic.com/xdata/images/hotel/square240/681094038.jpg?k=bb7be78b0360000ae651cd9a4c26fe601467746b51b2e3e3290f738553bc0309&o=,Dubai,2025-05-12
Emirates Grand Hotel Opposite DIFC,N/A,3.3,N/A,245.70,0681065954,1.8 km from centre,"Pet-friendly, Spa, Gym",https://cf.bstatic.com/xdata/images/hotel/square240/680728544.jpg?k=f18c7d72fe84e193c327fe318b312ecafa85adcad527e4ef3133de6ee4e0fcd8&o=,Dubai,2025-05-12
"1BR with Floor-to-Ceiling Windows & Skyline Views, Next to Gate Avenue, Park Towers DIFC",N/A,4.1,N/A,494.90,0635948870,1.7 km from centre,"Navette aéroport, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/678496445.jpg?k=a8d9403d91259c55d9b97a4cd8c84956ca6d75e32a0db7eeb3e24d014ceb0661&o=,Dubai,2025-05-12
Studio with Burj Khalifa view,N/A,3.3,N/A,493.43,0748511978,1.7 km from centre,"Wifi, Navette aéroport, Parking",https://cf.bstatic.com/xdata/images/hotel/square240/678188688.jpg?k=8e995c442287e0887d4a17c010854056b46765a99091e5b76610c9e9b49bfed8&o=,Dubai,2025-05-12
"Elegant Studio in Binghatti Canal, Downtown Access",N/A,3.9,N/A,401.40,0588739307,1.7 km from centre,"Bar, Wifi, Climatisation, Piscine",https://cf.bstatic.com/xdata/images/hotel/square240/678123986.jpg?k=42b2c016ac81e067ecb7ca5258fdcb04b9d1b3348a357f2f0107662d8fd37530&o=,Dubai,2025-05-12
Modern Studio in Business Bay near Downtown,N/A,4.2,N/A,274.42,0551853376,1.4 km from centre,"Bar, Navette aéroport, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/682475530.jpg?k=9e7998c626b6fd503756ff16498df74e9fbf19203267829e4a175c552b123e5b&o=,Dubai,2025-05-12
Luxury Canal-View Studio,N/A,4.3,N/A,182.08,0734576084,1.2 km from centre,"Pet-friendly, Restaurant, Climatisation",https://cf.bstatic.com/xdata/images/hotel/square240/682455745.jpg?k=9a3007960af9bceb41c2fa0820f93a745854442319b0f6b35e382d2fc72e0439&o=,Dubai,2025-05-12
"Beach Access, Burj Khalifa View, Family Friendly",N/A,2.8,N/A,425.00,0684450304,7.7 km from centre,"Navette aéroport, Climatisation",https://cf.bstatic.com/xdata/images/hotel/square240/675629841.jpg?k=942b158789e21bb22fcd935e9a929910048882732ae860984d60aa8b0f93e353&o=,Dubai,2025-05-12
Business Bay Bliss Pool & Gym Access,N/A,2.7,N/A,316.35,0775778757,1.2 km from centre,"Piscine, Vue mer",https://cf.bstatic.com/xdata/images/hotel/square240/682416399.jpg?k=4770de435acf8bd60e2387f37419c66f8f2b5648e10636b99d15ed3150844427&o=,Dubai,2025-05-12
Breathtaking 1BR Retreat in Downtown - Sleeps 4,N/A,4.3,N/A,333.61,0623777566,1 km from centre,"Vue mer, Gym, Wifi",https://cf.bstatic.com/xdata/images/hotel/square240/682387302.jpg?k=9cf19836ae09f284be10b8ab97f65bdfc0aa9c79042824bd07c743cdb7912d61&o=,Dubai,2025-05-12
Trophy Luxe Living in the Heart of Bbay w Jacuzzi,N/A,4.7,N/A,325.99,0675684966,1.5 km from centre,"Gym, Spa, Pet-friendly, Wifi",https://cf.bstatic.com/xdata/images/hotel/square240/682269582.jpg?k=15ce8920cae6f3d979c60b0063ec63fcdfe359d5e188b0b9a8036edb663a05ee&o=,Dubai,2025-05-12
New 2BR Burj Khalifa Dubai Mall,N/A,3.6,N/A,468.56,0571352462,1.2 km from centre,"Pet-friendly, Wifi",https://cf.bstatic.com/xdata/images/hotel/square240/681622619.jpg?k=6843cfba0a81187922d3dfea60bcea3cd1b2fa5c15b32e1f869a02e4a2d61723&o=,Dubai,2025-05-12
PVH - Edgy and Modern Comfort 1BR Downtown Views 2,N/A,3.1,N/A,482.38,0799998039,1.1 km from centre,"Piscine, Gym, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/681468300.jpg?k=6aee1dfed030509a6500ca0ed6dbcffd5ce3efb9f63db38ddf4f3033a4e4a412&o=,Dubai,2025-05-12
